"ds","Residuals"
1995-01-01,32.7858850454508
1996-01-01,27.0321700994497
1997-01-01,20.9781436056512
1998-01-01,19.7744286596498
1999-01-01,11.4607137136485
2000-01-01,5.2469987676472
2001-01-01,-1.68702772615138
2002-01-01,-7.34074267215268
2003-01-01,-19.624457618154
2004-01-01,-15.7281725641553
2005-01-01,-22.8821990579539
2006-01-01,-24.2859140039552
2007-01-01,-21.0196289499565
2008-01-01,-18.5533438959578
2009-01-01,-22.4373703897564
2010-01-01,-20.2310853357577
2011-01-01,-18.4148002817591
2012-01-01,-19.7885152277604
2013-01-01,-5.80254172155895
2014-01-01,3.50374333243973
2015-01-01,4.5600283864384
2016-01-01,0.136313440437086
2017-01-01,0.222286946638524
2018-01-01,-0.851427999362799
2019-01-01,-0.245142945364107
2020-01-01,67.3811421086346
2021-01-01,19.267115614836
2022-01-01,6.54340066883469
